,Name,Price,Offer_price,Percentage_Offer
0,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (8GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Purple)","<span class=""Prdvsprc_"">₹ 29,499</span>","<span class=""Prdmrprc_"">₹ 33,999</span>","<span class=""ofrnm_"">13% OFF</span>"
1,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (8GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion White)","<span class=""Prdvsprc_"">₹ 29,499</span>","<span class=""Prdmrprc_"">₹ 33,999</span>","<span class=""ofrnm_"">13% OFF</span>"
2,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (8GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Black)","<span class=""Prdvsprc_"">₹ 29,499</span>","<span class=""Prdmrprc_"">₹ 33,999</span>","<span class=""ofrnm_"">13% OFF</span>"
3,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM,512GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Purple)","<span class=""Prdvsprc_"">₹ 33,499</span>","<span class=""Prdmrprc_"">₹ 37,999</span>","<span class=""ofrnm_"">12% OFF</span>"
4,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 512GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Black)","<span class=""Prdvsprc_"">₹ 33,499</span>","<span class=""Prdmrprc_"">₹ 37,999</span>","<span class=""ofrnm_"">12% OFF</span>"
5,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion Black)","<span class=""Prdvsprc_"">₹ 31,499</span>","<span class=""Prdmrprc_"">₹ 35,999</span>","<span class=""ofrnm_"">13% OFF</span>"
6,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display |MediaTek Dimensity 7200-Ultra (Fusion Purple)","<span class=""Prdvsprc_"">₹ 31,499</span>","<span class=""Prdmrprc_"">₹ 35,999</span>","<span class=""ofrnm_"">13% OFF</span>"
7,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 512GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion White)","<span class=""Prdvsprc_"">₹ 33,499</span>","<span class=""Prdmrprc_"">₹ 37,999</span>","<span class=""ofrnm_"">12% OFF</span>"
8,"Redmi Note 13 Pro+ 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.67 inch 3D Curved AMOLED Display | MediaTek Dimensity 7200-Ultra (Fusion White)","<span class=""Prdvsprc_"">₹ 31,499</span>","<span class=""Prdmrprc_"">₹ 35,999</span>","<span class=""ofrnm_"">13% OFF</span>"
9,"Samsung Galaxy F Series F55 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.7 inch FHD+ Super AMOLED Display, Snapdragon® 7 Gen 1 (Raisin Black)","<span class=""Prdvsprc_"">₹ 30,999</span>","<span class=""Prdmrprc_"">₹ 32,999</span>","<span class=""ofrnm_"">6% OFF</span>"
10,"Samsung Galaxy F Series F55 5G Dual Sim Smartphone (12GB RAM, 256GB Storage) 6.7 inch FHD+ Super AMOLED Display, Snapdragon® 7 Gen 1 (Apricot Crush)","<span class=""Prdvsprc_"">₹ 30,999</span>","<span class=""Prdmrprc_"">₹ 32,999</span>","<span class=""ofrnm_"">6% OFF</span>"
11,"Samsung Galaxy F Series F55 5G Dual Sim Smartphone (8GB RAM, 128GB Storage) 6.7 inch FHD+ Super AMOLED Display, Snapdragon® 7 Gen 1 (Raisin Black)","<span class=""Prdvsprc_"">₹ 24,999</span>","<span class=""Prdmrprc_"">₹ 26,999</span>","<span class=""ofrnm_"">7% OFF</span>"
